# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles:P'
# Event count (approx.): 1496259908
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                           
# ........  ...............  ................................  .................................................................................................................................................................................................................................................................
#
    24.79%  swapper          [kernel.kallsyms]                 [k] intel_idle
     1.55%  swapper          [unknown]                         [.] 0000000000000000
     1.08%  swapper          [kernel.kallsyms]                 [k] menu_select
     1.06%  swapper          [kernel.kallsyms]                 [k] perf_adjust_freq_unthr_context
     0.90%  swapper          [kernel.kallsyms]                 [k] cpuidle_enter_state
     0.55%  swapper          [kernel.kallsyms]                 [k] dw_reg_read
     0.51%  swapper          [kernel.kallsyms]                 [k] __update_blocked_fair
     0.50%  swapper          [kernel.kallsyms]                 [k] intel_gpio_irq
     0.43%  swapper          [kernel.kallsyms]                 [k] native_sched_clock
     0.43%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055fcd0
     0.43%  swapper          [kernel.kallsyms]                 [k] native_write_msr
     0.41%  swapper          [kernel.kallsyms]                 [k] _raw_spin_lock
     0.40%  swapper          [kernel.kallsyms]                 [k] psi_group_change
     0.32%  swapper          [kernel.kallsyms]                 [k] cpuidle_not_available
     0.30%  swapper          [kernel.kallsyms]                 [k] enqueue_entity
     0.28%  swapper          [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.28%  swapper          [kernel.kallsyms]                 [k] update_rq_clock
     0.27%  swapper          [kernel.kallsyms]                 [k] timerqueue_add
     0.26%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055fe50
     0.26%  pool-tracker-mi  libc.so.6                         [.] _int_free
     0.24%  gnome-shell      libgjs.so.0.0.0                   [.] 0x00000000000660ab
     0.24%  swapper          [kernel.kallsyms]                 [k] tick_check_oneshot_broadcast_this_cpu
     0.24%  swapper          [kernel.kallsyms]                 [k] ktime_get
     0.23%  swapper          [kernel.kallsyms]                 [k] cpuidle_idle_call
     0.22%  swapper          [kernel.kallsyms]                 [k] rb_next
     0.22%  swapper          [kernel.kallsyms]                 [k] get_cpu_device
     0.22%  swapper          [kernel.kallsyms]                 [k] ___perf_sw_event
     0.21%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055c626
     0.21%  swapper          [kernel.kallsyms]                 [k] read_tsc
     0.21%  swapper          [kernel.kallsyms]                 [k] tsc_verify_tsc_adjust
     0.21%  irq/133-ELAN050  [kernel.kallsyms]                 [k] dw_reg_read
     0.21%  swapper          [kernel.kallsyms]                 [k] idle_cpu
     0.20%  swapper          [kernel.kallsyms]                 [k] __hrtimer_next_event_base
     0.19%  systemd-resolve  libsystemd-shared-255.so          [.] dns_label_unescape
     0.19%  swapper          [kernel.kallsyms]                 [k] timekeeping_advance
     0.19%  swapper          [kernel.kallsyms]                 [k] load_balance
     0.19%  gnome-terminal-  [unknown]                         [.] 0000000000000000
     0.18%  swapper          [kernel.kallsyms]                 [k] update_load_avg
     0.18%  swapper          [kernel.kallsyms]                 [k] nr_iowait_cpu
     0.18%  swapper          [kernel.kallsyms]                 [k] irq_work_needs_cpu
     0.18%  pool-tracker-mi  libc.so.6                         [.] malloc
     0.18%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x00000000002595ce
