# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:P'
# Event count (approx.): 1305366482
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                              
# ........  ...............  ................................  ....................................................................................................................................................................................................................................................................
#
    18.22%  swapper          [kernel.kallsyms]                 [k] intel_idle
     4.16%  swapper          [kernel.kallsyms]                 [k] intel_gpio_irq
     3.89%  swapper          [kernel.kallsyms]                 [k] dw_reg_read
     2.42%  irq/133-ELAN050  [kernel.kallsyms]                 [k] dw_reg_read
     1.84%  swapper          [unknown]                         [.] 0000000000000000
     1.08%  swapper          [idma64]                          [k] 0x0000000000000c22
     0.88%  swapper          [kernel.kallsyms]                 [k] psi_group_change
     0.88%  swapper          [kernel.kallsyms]                 [k] menu_select
     0.73%  swapper          [kernel.kallsyms]                 [k] cpuidle_enter_state
     0.48%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a5e6
     0.43%  irq/133-ELAN050  [kernel.kallsyms]                 [k] intel_gpio_irq_mask_unmask
     0.40%  irq/133-ELAN050  [unknown]                         [.] 0000000000000000
     0.31%  swapper          [kernel.kallsyms]                 [k] nr_iowait_cpu
     0.29%  swapper          [kernel.kallsyms]                 [k] update_cfs_group
     0.28%  swapper          [kernel.kallsyms]                 [k] switch_mm_irqs_off
     0.27%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a87c
     0.27%  swapper          [kernel.kallsyms]                 [k] update_load_avg
     0.26%  swapper          [kernel.kallsyms]                 [k] __hrtimer_next_event_base
     0.25%  swapper          [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.25%  swapper          [kernel.kallsyms]                 [k] enqueue_entity
     0.24%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_str_hash
     0.22%  swapper          [kernel.kallsyms]                 [k] __update_blocked_fair
     0.21%  swapper          [kernel.kallsyms]                 [k] perf_adjust_freq_unthr_context
     0.20%  swapper          [kernel.kallsyms]                 [k] psi_task_change
     0.20%  gnome-terminal-  [unknown]                         [.] 0000000000000000
     0.20%  swapper          [kernel.kallsyms]                 [k] memchr_inv
     0.20%  swapper          [kernel.kallsyms]                 [k] native_sched_clock
     0.19%  swapper          [kernel.kallsyms]                 [k] __switch_to_asm
     0.19%  swapper          [kernel.kallsyms]                 [k] native_write_msr
     0.19%  swapper          [kernel.kallsyms]                 [k] __update_load_avg_cfs_rq
     0.19%  wireplumber      liblua5.4.so.0.0.0                [.] 0x000000000000d412
     0.18%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a5f3
     0.18%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_bit_lock
     0.18%  swapper          [kernel.kallsyms]                 [k] tick_nohz_next_event
     0.17%  tracker-extract  ld-linux-x86-64.so.2              [.] _dl_rtld_di_serinfo
     0.17%  gnome-terminal-  libc.so.6                         [.] __strxfrm_l
     0.17%  swapper          [kernel.kallsyms]                 [k] timerqueue_add
     0.17%  swapper          [kernel.kallsyms]                 [k] cpupri_set
     0.17%  kworker/8:1-mm_  [kernel.kallsyms]                 [k] get_recent_times
     0.17%  swapper          [kernel.kallsyms]                 [k] rb_next
     0.16%  gnome-terminal-  [kernel.kallsyms]                 [k] eventfd_poll
     0.16%  swapper          [kernel.kallsyms]                 [k] usb_hcd_is_primary_hcd
     0.16%  swapper          [kernel.kallsyms]                 [k] _raw_spin_lock
     0.16%  InputThread      [kernel.kallsyms]                 [k] __fdget
     0.16%  pool-tracker-ex  [kernel.kallsyms]                 [k] update_curr
     0.16%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055fe50
     0.16%  swapper          [kernel.kallsyms]                 [k] __update_load_avg_se
     0.16%  tracker-extract  libc.so.6                         [.] __strxfrm_l
     0.15%  pw-data-loop     [snd_hda_codec]                   [k] 0x000000000000e07d
     0.15%  perf             [kernel.kallsyms]                 [k] fault_in_readable
     0.15%  swapper          [kernel.kallsyms]                 [k] cpuidle_idle_call
     0.15%  nautilus         libgtk-4.so.1.1400.2              [.] 0x000000000050c62b
     0.15%  swapper          [kernel.kallsyms]                 [k] update_sg_lb_stats
     0.14%  swapper          [kernel.kallsyms]                 [k] __schedule
     0.14%  swapper          [kernel.kallsyms]                 [k] cpuidle_governor_latency_req
     0.14%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a5c6
     0.14%  tracker-extract  [kernel.kallsyms]                 [k] mas_walk
     0.14%  swapper          [kernel.kallsyms]                 [k] tsc_verify_tsc_adjust
     0.14%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055fcd0
     0.13%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x0000000000027580
     0.13%  swapper          [kernel.kallsyms]                 [k] ktime_get
     0.13%  swapper          [kernel.kallsyms]                 [k] do_idle
     0.13%  swapper          [kernel.kallsyms]                 [k] read_tsc
     0.13%  swapper          [kernel.kallsyms]                 [k] llist_reverse_order
     0.13%  pipewire-pulse   libc.so.6                         [.] 0x000000000018afab
     0.13%  StreamTrans #24  [kernel.kallsyms]                 [k] smaps_account
     0.13%  InputThread      [i915]                            [k] intel_psr2_sel_fetch_update.cold
     0.13%  swapper          [kernel.kallsyms]                 [k] update_rq_clock
     0.12%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_hash_table_lookup
     0.12%  swapper          [kernel.kallsyms]                 [k] ct_kernel_enter.isra.0
     0.12%  tracker-extract  [kernel.kallsyms]                 [k] get_vma_policy
     0.12%  tracker-extract  [kernel.kallsyms]                 [k] sync_regs
     0.12%  gdbus            [unknown]                         [.] 0000000000000000
     0.12%  swapper          [kernel.kallsyms]                 [k] tick_nohz_stop_idle
     0.12%  swapper          [kernel.kallsyms]                 [k] native_irq_return_iret
     0.12%  Xorg             [kernel.kallsyms]                 [k] syscall_exit_to_user_mode
     0.12%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_utf8_validate
     0.12%  firefox          firefox                           [.] malloc
     0.12%  swapper          [kernel.kallsyms]                 [k] rcu_nocb_flush_deferred_wakeup
     0.11%  URL Classifier   libc.so.6                         [.] pthread_mutex_unlock
     0.11%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055c5d9
     0.11%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a5ad
