# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:P'
# Event count (approx.): 1317729589
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                                                                                           
# ........  ...............  ................................  .................................................................................................................................................................................................................................................................................................................................
#
    25.03%  swapper          [kernel.kallsyms]                 [k] intel_idle
     5.46%  swapper          [kernel.kallsyms]                 [k] intel_gpio_irq
     2.00%  tracker-extract  ld-linux-x86-64.so.2              [.] do_lookup_x
     1.97%  swapper          [unknown]                         [.] 0000000000000000
     1.51%  irq/133-ELAN050  [kernel.kallsyms]                 [k] dw_reg_read
     1.07%  swapper          [kernel.kallsyms]                 [k] dw_reg_read
     0.93%  swapper          [kernel.kallsyms]                 [k] cpuidle_enter_state
     0.66%  swapper          [kernel.kallsyms]                 [k] menu_select
     0.53%  gnome-shell      [unknown]                         [.] 0000000000000000
     0.47%  tracker-extract  ld-linux-x86-64.so.2              [.] strcmp
     0.41%  swapper          [kernel.kallsyms]                 [k] psi_group_change
     0.37%  swapper          [kernel.kallsyms]                 [k] __update_load_avg_cfs_rq
     0.34%  swapper          [kernel.kallsyms]                 [k] __update_blocked_fair
     0.30%  swapper          [kernel.kallsyms]                 [k] switch_mm_irqs_off
     0.30%  Xorg             [unknown]                         [.] 0000000000000000
     0.28%  swapper          [kernel.kallsyms]                 [k] perf_adjust_freq_unthr_context
     0.27%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_str_hash
     0.25%  swapper          [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.24%  irq/133-ELAN050  [kernel.kallsyms]                 [k] intel_gpio_irq_mask_unmask
     0.23%  swapper          [kernel.kallsyms]                 [k] __hrtimer_next_event_base
     0.22%  swapper          [kernel.kallsyms]                 [k] enqueue_entity
     0.22%  gnome-terminal-  [unknown]                         [.] 0000000000000000
     0.21%  swapper          [kernel.kallsyms]                 [k] tick_nohz_next_event
     0.21%  swapper          [kernel.kallsyms]                 [k] update_load_avg
     0.21%  swapper          [kernel.kallsyms]                 [k] llist_reverse_order
     0.20%  swapper          [kernel.kallsyms]                 [k] idma64_irq
     0.20%  swapper          [kernel.kallsyms]                 [k] cpuidle_idle_call
     0.20%  swapper          [kernel.kallsyms]                 [k] _raw_spin_lock
     0.19%  swapper          [kernel.kallsyms]                 [k] native_write_msr
     0.19%  swapper          [kernel.kallsyms]                 [k] __update_load_avg_se
     0.17%  usb-storage      [kernel.kallsyms]                 [k] xhci_ring_ep_doorbell
     0.17%  swapper          [kernel.kallsyms]                 [k] load_balance
     0.17%  swapper          [kernel.kallsyms]                 [k] psi_task_change
     0.17%  swapper          [kernel.kallsyms]                 [k] memchr_inv
     0.15%  swapper          [kernel.kallsyms]                 [k] nr_iowait_cpu
     0.15%  swapper          [kernel.kallsyms]                 [k] update_rq_clock
     0.15%  swapper          [kernel.kallsyms]                 [k] tsc_verify_tsc_adjust
     0.15%  swapper          [kernel.kallsyms]                 [k] irq_work_needs_cpu
     0.15%  tracker-extract  ld-linux-x86-64.so.2              [.] check_match
     0.14%  swapper          [kernel.kallsyms]                 [k] __schedule
     0.14%  tracker-extract  ld-linux-x86-64.so.2              [.] _dl_relocate_object
     0.14%  tracker-extract  libc.so.6                         [.] _int_malloc
     0.14%  swapper          [kernel.kallsyms]                 [k] timerqueue_add
     0.14%  tracker-extract  libc.so.6                         [.] _int_free
     0.14%  swapper          [kernel.kallsyms]                 [k] rb_next
     0.14%  tracker-extract  libc.so.6                         [.] malloc
     0.14%  swapper          [kernel.kallsyms]                 [k] read_tsc
     0.14%  swapper          [kernel.kallsyms]                 [k] cpuidle_governor_latency_req
     0.14%  swapper          [kernel.kallsyms]                 [k] __hrtimer_start_range_ns
     0.13%  swapper          [kernel.kallsyms]                 [k] rcu_note_context_switch
     0.13%  ksoftirqd/14     [kernel.kallsyms]                 [k] fw_domains_get_with_fallback
     0.13%  Xorg             [kernel.kallsyms]                 [k] __schedule
     0.13%  swapper          [kernel.kallsyms]                 [k] do_idle
     0.13%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_hash_table_lookup
     0.12%  swapper          [kernel.kallsyms]                 [k] ct_kernel_enter.isra.0
     0.11%  swapper          [kernel.kallsyms]                 [k] lapic_next_deadline
     0.11%  swapper          [kernel.kallsyms]                 [k] hrtimer_next_event_without
     0.11%  swapper          [kernel.kallsyms]                 [k] cpuidle_reflect
     0.11%  tracker-extract  libc.so.6                         [.] __strcmp_avx2
     0.11%  gnome-shell      libgobject-2.0.so.0.8000.0        [.] g_type_check_instance_is_a
     0.11%  swapper          [kernel.kallsyms]                 [k] ktime_get
     0.11%  swapper          [kernel.kallsyms]                 [k] __switch_to
     0.11%  swapper          [kernel.kallsyms]                 [k] enqueue_task_fair
     0.11%  swapper          [kernel.kallsyms]                 [k] __switch_to_asm
     0.11%  swapper          [kernel.kallsyms]                 [k] native_sched_clock
     0.11%  swapper          [kernel.kallsyms]                 [k] update_sg_lb_stats
     0.11%  swapper          [kernel.kallsyms]                 [k] get_cpu_device
     0.11%  InputThread      [kernel.kallsyms]                 [k] apparmor_file_permission
     0.11%  swapper          [kernel.kallsyms]                 [k] notifier_call_chain
     0.10%  swapper          [kernel.kallsyms]                 [k] _raw_spin_lock_irqsave
     0.10%  swapper          [kernel.kallsyms]                 [k] intel_gpio_irq_mask_unmask
     0.10%  gnome-shell      libc.so.6                         [.] _int_malloc
     0.10%  swapper          [kernel.kallsyms]                 [k] timekeeping_advance
     0.10%  gnome-shell      [kernel.kallsyms]                 [k] __fdget
     0.10%  tracker-extract  ld-linux-x86-64.so.2              [.] _dl_lookup_symbol_x
     0.10%  swapper          [kernel.kallsyms]                 [k] mm_cid_get
     0.10%  gnome-terminal-  [kernel.kallsyms]                 [k] __fdget
     0.10%  gnome-terminal-  [kernel.kallsyms]                 [k] clear_bhb_loop
     0.10%  gnome-shell      [kernel.kallsyms]                 [k] psi_group_change
     0.10%  swapper          [kernel.kallsyms]                 [k] pick_eevdf
     0.10%  gnome-shell      libglib-2.0.so.0.8000.0           [.] g_source_ref
     0.09%  swapper          [kernel.kallsyms]                 [k] tick_nohz_get_sleep_length
     0.09%  swapper          [kernel.kallsyms]                 [k] cpuidle_not_available
     0.09%  Xorg             [kernel.kallsyms]                 [k] psi_group_change
     0.09%  Xorg             [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.09%  tracker-extract  [kernel.kallsyms]                 [k] native_irq_return_iret
     0.09%  swapper          [kernel.kallsyms]                 [k] tick_nohz_stop_tick
     0.09%  InputThread      libinput_drv.so                   [.] libinput_dispatch@plt
     0.09%  swapper          [kernel.kallsyms]                 [k] tick_check_oneshot_broadcast_this_cpu
     0.09%  gnome-shell      [kernel.kallsyms]                 [k] clear_bhb_loop
     0.09%  swapper          [kernel.kallsyms]                 [k] nohz_run_idle_balance
     0.09%  Xorg             [kernel.kallsyms]                 [k] clear_bhb_loop
     0.09%  swapper          [kernel.kallsyms]                 [k] __remove_hrtimer
     0.09%  swapper          [kernel.kallsyms]                 [k] call_cpuidle
     0.09%  irq/133-ELAN050  [kernel.kallsyms]                 [k] __wake_up_common
     0.09%  swapper          [kernel.kallsyms]                 [k] local_clock_noinstr
     0.08%  swapper          [kernel.kallsyms]                 [k] rb_erase
     0.08%  swapper          [kernel.kallsyms]                 [k] kthread_is_per_cpu
     0.08%  swapper          [kernel.kallsyms]                 [k] account_process_tick
     0.08%  swapper          [kernel.kallsyms]                 [k] set_next_entity
     0.08%  tracker-extract  ld-linux-x86-64.so.2              [.] _dl_map_object
     0.08%  tracker-extract  ld-linux-x86-64.so.2              [.] _dl_name_match_p
     0.08%  tracker-extract  ld-linux-x86-64.so.2              [.] _dl_map_object_from_fd
     0.08%  swapper          [kernel.kallsyms]                 [k] xhci_update_erst_dequeue
     0.08%  tracker-extract  [kernel.kallsyms]                 [k] clear_bhb_loop
     0.08%  Xorg             Xorg                              [.] dixLookupResourceByClass
     0.08%  gnome-shell      [kernel.kallsyms]                 [k] do_syscall_64
     0.08%  InputThread      [kernel.kallsyms]                 [k] __update_idle_core
     0.08%  swapper          [kernel.kallsyms]                 [k] arch_scale_freq_tick
     0.08%  gnome-terminal-  libc.so.6                         [.] malloc
     0.08%  gnome-shell      [kernel.kallsyms]                 [k] _copy_from_user
     0.08%  gnome-shell      libc.so.6                         [.] cfree@GLIBC_2.2.5
     0.08%  swapper          [kernel.kallsyms]                 [k] timer_clear_idle
     0.08%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x0000000000279e48
